STATION_ID,FROM_DATE,TO_DATE,RELEVANT_DATUM,STAT_PARAM,STAT_RESOLUTION,RELEVANT_RESOLUTION,STAT_PERIOD
2533,13.01.1949,25.03.1951,FALSE,DWDObservationParameterSet.WATER_EQUIVALENT,DWDObservationResolution.DAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.04.1951,FALSE,DWDObservationParameterSet.PRESSURE,DWDObservationResolution.SUBDAILY,,DWDObservationPeriod.HISTORICAL
2533,01.01.1951,31.12.1976,FALSE,DWDObservationParameterSet.TEMPERATURE_SOIL,DWDObservationResolution.HOURLY,,DWDObservationPeriod.HISTORICAL
2533,01.01.1951,31.12.1976,FALSE,DWDObservationParameterSet.TEMPERATURE_SOIL,DWDObservationResolution.DAILY,,DWDObservationPeriod.HISTORICAL
2535,01.01.1951,31.12.1976,FALSE,DWDObservationParameterSet.PRECIPITATION_MORE,DWDObservationResolution.DAILY,,DWDObservationPeriod.HISTORICAL
2535,01.01.1951,31.12.1976,FALSE,DWDObservationParameterSet.PRECIPITATION_MORE,DWDObservationResolution.MONTHLY,,DWDObservationPeriod.HISTORICAL
2535,01.01.1951,31.12.1976,FALSE,DWDObservationParameterSet.PRECIPITATION_MORE,DWDObservationResolution.ANNUAL,,DWDObservationPeriod.HISTORICAL
2533,01.01.1947,31.12.1976,FALSE,DWDObservationParameterSet.WEATHER_PHENOMENA,DWDObservationResolution.ANNUAL,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.TEMPERATURE_AIR,DWDObservationResolution.SUBDAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.WIND,DWDObservationResolution.SUBDAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.CLOUDINESS,DWDObservationResolution.SUBDAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.VISIBILITY,DWDObservationResolution.SUBDAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.MOISTURE,DWDObservationResolution.SUBDAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.SOIL,DWDObservationResolution.SUBDAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.CLIMATE_SUMMARY,DWDObservationResolution.DAILY,,DWDObservationPeriod.HISTORICAL
2533,01.07.1946,30.06.1977,FALSE,DWDObservationParameterSet.WEATHER_PHENOMENA,DWDObservationResolution.DAILY,,DWDObservationPeriod.HISTORICAL
